"","n_Weight","n_Length","n_Age","Lat","Area_ha","Method","W_inf","SE_W_inf","CI95lo_W_inf","CI95hi_W_inf"
"16.8 Mile Lake",0,14,0,63.04338,26.3,4,1.9389711041256,2.50192372575104,0.102656690921276,9.25477303922899
"36 Mile Lake",0,7,0,63.10364,44.52,4,2.18882643702403,3.1262063610471,0.100883900044187,11.4962155971854
"Backdown Lake",0,25,0,63.71486,2.09,4,0.391494912832431,0.955485095516172,0.00136217606504281,3.38501269348958
"Bernard Lake",0,5,5,61.5254,NA,4,NA,NA,NA,NA
"Big Lake (Healy)",6,65,5,62.98789,437.06,4,3.61650507999591,3.83909464743311,0.368621227163674,14.7265264481968
"Bullwinkle Lake",0,1,0,63.906999,2,4,0.391018450479096,1.15903207365723,0.000577873766254635,3.97073730692786
"Butte Lake",104,966,113,63.19019,275.19,1,1.34006211180125,0.10332829779103,1.06542443064182,1.42003105590062
"Chandler Lake",330,1330,47,68.22725,1311.5,1,6.44120000000002,0.660326156120541,5.443,7.61303157894737
"Chelle Lake",0,4,0,62.19199,14.16,4,1.55141796905805,3.09212813783582,0.0174079261845689,10.6457393930417
"Chet Lake",0,16,0,63.830588,4,4,0.755912190005889,1.49983229336264,0.00680579912307669,5.18022304044377
"Clarence Lake",0,9,0,62.67556,121,4,2.79081318050497,3.67719054092397,0.160641080034114,13.5687523268009
"Coal Mine 5",0,99,0,63.717789,4,4,0.702265477993432,1.53311761097678,0.00571447964989476,5.42134385876945
"Craig Lake",0,7,0,63.73103,8.41,4,1.19991186585281,2.27239367692326,0.0187895690282885,7.82251696906511
"Crosswind Lake",111,147,2,62.35472,3716.55,3,6.1648571319357,0.896117724578073,4.5495990456165,7.85901311440084
"Crystal Lake #1",0,10,0,63.15976,NA,4,NA,NA,NA,NA
"Dickey Lake",0,46,0,62.93348,305.54,4,3.04804144445742,3.58002652634623,0.264689780437563,13.3751513692863
"Dog Lake (near Lk Louise)",0,5,0,62.37635,339.94,4,3.11540072713692,4.26614352942421,0.170526438908527,16.0301187048203
"Donnelly Lake",0,76,0,NA,NA,4,NA,NA,NA,NA
"Ellis Lake",16,67,0,62.26928,101.17,4,2.55336753103557,3.65953672644788,0.0967046672879377,13.6071187812387
"Fielding Lake",622,1290,3,63.17169,561.96,3,7.01489163523076,1.38135834878484,4.57429435308381,9.33117791492063
"Four Mile Lake",0,10,0,NA,NA,4,NA,NA,NA,NA
"Fourteen Mile Lake",0,146,0,63.071954,39,3,1.24178287036209,0.28249570404586,0.810381035295775,1.77266107194832
"Galbraith Lake",29,163,0,68.46224,413.56,3,5.80240875798492,1.06708378685152,3.84357382334049,8.02562388867749
"Ghost Lake",0,5,0,NA,NA,4,NA,NA,NA,NA
"Glacier Gap Lake (Denali Hwy)",389,1362,403,63.11834,179.3,1,1.125,0.0220964000990845,1.075,1.175
"Hanagita Lake",0,48,0,61.23465,52.61,4,2.3865259141887,3.04505675626271,0.167064082230011,11.427295380922
"Harding Lake",62,88,21,64.43474,887.18,2,13.1487748874469,1.79576030434479,10.4465604170806,17.4795436190734
"Hidden Lake (Kenai)",169,171,0,60.48471,682.7,1,1.70485969028625,0.144557476103953,1.36896402877698,1.86860869565217
"Iniakuk Lake",0,4,0,67.13484,1298.79,4,3.15106463745015,3.51346139349097,0.329740113177891,13.1604756741672
"Itkillik lake",10,849,42,68.40173,438.73,3,2.16558338115743,1.02069346721589,1.32106673694123,5.17165932734473
